objectid,event_time_utc,event_time_epoch_ms,city_twp,display_address,incident_type,agency_type,agency_name,latitude,longitude
1,2026-08-01T00:06:00Z,1785542760000,PLAINFIELD TWP,4200 BLOCK OF CHADWICK AVE NE,VEHICLE CRASH,Police,KENT CO SHERIFF,,
2,2026-08-01T00:18:00Z,1785543480000,GAINES TWP,7200 BLOCK OF MARTIN AVE SE,MISSING PERSON,Police,KENT CO SHERIFF,,
1,2026-08-01T00:19:00Z,1785543540000,GRANDVILLE,3800 BLOCK OF PIUTE DR SW,FIRE ALARM,Fire,GRANDVILLE FIRE,,
3,2026-08-01T00:23:00Z,1785543780000,GRANDVILLE,3400 BLOCK OF CENTURY CENTER ST SW,FRAUD,Police,GRANDVILLE POLICE,,
1,2026-08-01T00:25:00Z,1785543900000,WALKER,2300 BLOCK OF ALPINE AVE NW,VEHICLE CRASH,Police,WALKER POLICE,,
1,2026-08-01T00:27:00Z,1785544020000,LOWELL,400 BLOCK OF N CENTER ST SE,FIRE ALARM,Fire,LOWELL AREA FIRE,,
3,2026-08-01T00:29:00Z,1785544140000,CASCADE TWP,1200 BLOCK OF SPAULDING AVE SE,MEDICAL EMERGENCY,Fire,CASCADE TWP FIRE,,
2,2026-08-01T00:31:00Z,1785544260000,WALKER,2300 BLOCK OF ALPINE AVE NW,MISC FIRE,Fire,WALKER FIRE,,
1,2026-08-01T00:33:00Z,1785544380000,SPARTA,600 BLOCK OF S STATE ST NW,MEDICAL EMERGENCY,Fire,SPARTA FIRE,,
1,2026-08-01T00:45:00Z,1785545100000,LOWELL TWP,11800 BLOCK OF E FULTON ST,GENERAL ASSIST,Police,KENT CO SHERIFF,,
2,2026-08-01T00:45:00Z,1785545100000,LOWELL TWP,11800 BLOCK OF E FULTON ST,MEDICAL EMERGENCY,Fire,LOWELL AREA FIRE,,
1,2026-08-01T00:47:00Z,1785545220000,WYOMING,900 BLOCK OF 40TH ST SW,STRUCTURE FIRE,Fire,WYOMING FIRE,,
2,2026-08-01T00:58:00Z,1785545880000,KENTWOOD,44TH ST SE / JEFFERSON AVE SE,RECKLESS DRIVER,Police,KENTWOOD POLICE,,
2,2026-08-01T01:00:00Z,1785546000000,GRANDVILLE,4500 BLOCK OF KENOWA AVE SW,FIRE ALARM,Fire,GRANDVILLE FIRE,,
2,2026-08-01T01:02:00Z,1785546120000,GRANDVILLE,4800 BLOCK OF RAVENSWOOD DR SW,GENERAL ASSIST,Police,GRANDVILLE POLICE,,
1,2026-08-01T01:05:00Z,1785546300000,ALPINE TWP,4800 BLOCK OF KITTERY DR NW,FIRE INVESTIGATION,Fire,ALPINE TWP FIRE,,
1,2026-08-01T01:05:00Z,1785546300000,ALPINE TWP,4800 BLOCK OF KITTERY DR NW,FIRE ALARM,Fire,ALPINE TWP FIRE,,
1,2026-08-01T01:06:00Z,1785546360000,CALEDONIA TWP,THORNAPPLE RIVER DR SE / 68TH ST SE,LOUD NOISE,Police,KENT CO SHERIFF,,
9,2026-08-01T01:17:00Z,1785547020000,BYRON TWP,M-6 WB AT BURLINGAME,VEHICLE CRASH,Police,KENT CO SHERIFF,42.85272147,-85.70351738
4,2026-08-01T01:25:00Z,1785547500000,WYOMING,64TH ST SW / WILSON AVE SW,FIGHT,Police,WYOMING POLICE,,
3,2026-08-01T01:27:00Z,1785547620000,KENT CITY,200 BLOCK OF S VILLAGE DR NW,MEDICAL EMERGENCY,Fire,KENT CITY FIRE,,
4,2026-08-01T01:28:00Z,1785547680000,KENTWOOD,3300 BLOCK OF PHEASANT RIDGE DR SE,LOUD NOISE,Police,KENTWOOD POLICE,,
2,2026-08-01T01:31:00Z,1785547860000,PLAINFIELD TWP,3700 BLOCK OF VINEYARD AVE NE,WELFARE CHECK,Police,KENT CO SHERIFF,,
1,2026-08-01T01:34:00Z,1785548040000,KENTWOOD,SHAFFER AVE SE / BLAIRVIEW PKWY SE,VEHICLE CRASH,Police,KENTWOOD POLICE,,
1,2026-08-01T01:38:00Z,1785548280000,WALKER,300 BLOCK OF WILSON AVE NW,DISORDERLY PERSON,Police,WALKER POLICE,,
1,2026-08-01T01:48:00Z,1785548880000,GAINES TWP,7200 BLOCK OF MARTIN AVE SE,GENERAL ASSIST,Police,KENT CO SHERIFF,,
2,2026-08-01T01:50:00Z,1785549000000,KENTWOOD,BROADMOOR AVE SE / PATTERSON AVE SE,VEHICLE CRASH,Police,KENTWOOD FIRE,,
1,2026-08-01T01:50:00Z,1785549000000,KENTWOOD,5400 BLOCK OF BROADMOOR AVE SE,VEHICLE CRASH,Police,KENTWOOD POLICE,,
1,2026-08-01T01:56:00Z,1785549360000,GRAND RAPIDS TWP,2800 BLOCK OF EAST BELTLINE AVE NE,STRUCTURE FIRE,Fire,GRAND RAPIDS TWP FIRE,,
